Date : 2021-12-15 21:20:21
Directory : c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo
Total : 2186 files,  2592571 codes, 16869 comments, 276433 blanks, all 2885873 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| test_p4\p4_test\cpu\isim\mips.exe.sim                                                                                                                                             |         12 |     17,139 |        119 |      1,872 |     19,130 |
| test_p4\p4_test\cpu\isim\mips.exe.sim\work                                                                                                                                        |         10 |     17,120 |        119 |      1,861 |     19,100 |
| test_p4\p4_test\cpu\src                                                                                                                                                           |         10 |        522 |         60 |         75 |        657 |
| test_p4\p4_test\cpu_heavy                                                                                                                                                         |         35 |     60,912 |        250 |      6,306 |     67,468 |
| test_p4\p4_test\cpu_heavy\isim                                                                                                                                                    |         18 |     59,592 |        179 |      6,181 |     65,952 |
| test_p4\p4_test\cpu_heavy\isim\mips.exe.sim                                                                                                                                       |         17 |     59,577 |        179 |      6,179 |     65,935 |
| test_p4\p4_test\cpu_heavy\isim\mips.exe.sim\work                                                                                                                                  |         15 |     59,558 |        179 |      6,168 |     65,905 |
| test_p4\p4_test\cpu_heavy\src                                                                                                                                                     |         10 |        562 |         60 |         76 |        698 |
| test_p4\p4_test\cpu_with_asm                                                                                                                                                      |         30 |     18,427 |        192 |      2,001 |     20,620 |
| test_p4\p4_test\cpu_with_asm\isim                                                                                                                                                 |         13 |     17,162 |        119 |      1,874 |     19,155 |
| test_p4\p4_test\cpu_with_asm\isim\mips.exe.sim                                                                                                                                    |         12 |     17,147 |        119 |      1,872 |     19,138 |
| test_p4\p4_test\cpu_with_asm\isim\mips.exe.sim\work                                                                                                                               |         10 |     17,128 |        119 |      1,861 |     19,108 |
| test_p4\p4_test\cpu_with_asm\src                                                                                                                                                  |         10 |        522 |         60 |         78 |        660 |
| test_p4\p4_test\p5                                                                                                                                                                |         18 |      1,362 |         82 |        150 |      1,594 |
| test_p4\previous                                                                                                                                                                  |          6 |        419 |          2 |          9 |        430 |
| test_p5                                                                                                                                                                           |        696 |    513,998 |      4,415 |     57,122 |    575,535 |
| test_p5\cpu_beta1                                                                                                                                                                 |         16 |        913 |         56 |        132 |      1,101 |
| test_p5\cpu_beta1\cpu                                                                                                                                                             |          1 |         66 |          0 |         13 |         79 |
| test_p5\cpu_beta2                                                                                                                                                                 |         43 |     26,690 |        288 |      3,112 |     30,090 |
| test_p5\cpu_beta2\cpu                                                                                                                                                             |         27 |     25,750 |        228 |      2,977 |     28,955 |
| test_p5\cpu_beta2\cpu\isim                                                                                                                                                        |         20 |     25,227 |        203 |      2,948 |     28,378 |
| test_p5\cpu_beta2\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                               |         19 |     25,212 |        203 |      2,946 |     28,361 |
| test_p5\cpu_beta2\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                          |         17 |     25,193 |        203 |      2,935 |     28,331 |
| test_p5\cpu_beta2_0                                                                                                                                                               |         97 |     68,348 |        662 |      7,610 |     76,620 |
| test_p5\cpu_beta2_0\cpu                                                                                                                                                           |         79 |     66,982 |        581 |      7,460 |     75,023 |
| test_p5\cpu_beta2_0\cpu\isim                                                                                                                                                      |         52 |     63,032 |        487 |      7,258 |     70,777 |
| test_p5\cpu_beta2_0\cpu\isim\ALU_isim_beh.exe.sim                                                                                                                                 |          5 |        623 |         35 |        111 |        769 |
| test_p5\cpu_beta2_0\cpu\isim\ALU_isim_beh.exe.sim\work                                                                                                                            |          3 |        604 |         35 |        100 |        739 |
| test_p5\cpu_beta2_0\cpu\isim\CTR_isim_beh.exe.sim                                                                                                                                 |          5 |     14,719 |         35 |      1,483 |     16,237 |
| test_p5\cpu_beta2_0\cpu\isim\CTR_isim_beh.exe.sim\work                                                                                                                            |          3 |     14,700 |         35 |      1,472 |     16,207 |
| test_p5\cpu_beta2_0\cpu\isim\NPC_isim_beh.exe.sim                                                                                                                                 |          5 |        593 |         35 |        102 |        730 |
| test_p5\cpu_beta2_0\cpu\isim\NPC_isim_beh.exe.sim\work                                                                                                                            |          3 |        574 |         35 |         91 |        700 |
| test_p5\cpu_beta2_0\cpu\isim\mips.exe.sim                                                                                                                                         |         18 |     24,661 |        191 |      2,963 |     27,815 |
| test_p5\cpu_beta2_0\cpu\isim\mips.exe.sim\work                                                                                                                                    |         16 |     24,642 |        191 |      2,952 |     27,785 |
| test_p5\cpu_beta2_0\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                             |         18 |     22,421 |        191 |      2,597 |     25,209 |
| test_p5\cpu_beta2_0\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                        |         16 |     22,402 |        191 |      2,586 |     25,179 |
| test_p5\cpu_beta2_0\cpu\src                                                                                                                                                       |         18 |      1,362 |         82 |        150 |      1,594 |
| test_p5\cpu_beta2_1                                                                                                                                                               |         84 |     70,504 |        549 |      7,779 |     78,832 |
| test_p5\cpu_beta2_1\cpu                                                                                                                                                           |         66 |     69,117 |        484 |      7,628 |     77,229 |
| test_p5\cpu_beta2_1\cpu\isim                                                                                                                                                      |         39 |     66,390 |        406 |      7,425 |     74,221 |
| test_p5\cpu_beta2_1\cpu\isim\mips.exe.sim                                                                                                                                         |         19 |     40,392 |        203 |      4,401 |     44,996 |
| test_p5\cpu_beta2_1\cpu\isim\mips.exe.sim\work                                                                                                                                    |         17 |     40,373 |        203 |      4,390 |     44,966 |
| test_p5\cpu_beta2_1\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                             |         19 |     25,983 |        203 |      3,022 |     29,208 |
| test_p5\cpu_beta2_1\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                        |         17 |     25,964 |        203 |      3,011 |     29,178 |
| test_p5\cpu_beta2_1\cpu\src                                                                                                                                                       |         18 |      1,386 |         66 |        151 |      1,603 |
| test_p5\cpu_beta3                                                                                                                                                                 |        296 |    248,053 |      1,910 |     27,342 |    277,305 |
| test_p5\cpu_beta3\cpu                                                                                                                                                             |         72 |     74,534 |        544 |      8,264 |     83,342 |
| test_p5\cpu_beta3\cpu\isim                                                                                                                                                        |         46 |     72,584 |        465 |      8,066 |     81,115 |
| test_p5\cpu_beta3\cpu\isim\IFU_isim_beh.exe.sim                                                                                                                                   |          5 |        618 |         35 |        101 |        754 |
| test_p5\cpu_beta3\cpu\isim\IFU_isim_beh.exe.sim\work                                                                                                                              |          3 |        599 |         35 |         90 |        724 |
| test_p5\cpu_beta3\cpu\isim\mips.exe.sim                                                                                                                                           |         21 |     44,958 |        227 |      4,886 |     50,071 |
| test_p5\cpu_beta3\cpu\isim\mips.exe.sim\work                                                                                                                                      |         19 |     44,939 |        227 |      4,875 |     50,041 |
| test_p5\cpu_beta3\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                               |         19 |     26,993 |        203 |      3,077 |     30,273 |
| test_p5\cpu_beta3\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                          |         17 |     26,974 |        203 |      3,066 |     30,243 |
| test_p5\cpu_beta3\cpu\src                                                                                                                                                         |         18 |      1,380 |         66 |        149 |      1,595 |
| test_p5\cpu_beta3\cpu_heavy                                                                                                                                                       |        103 |     85,171 |        655 |      9,493 |     95,319 |
| test_p5\cpu_beta3\cpu_heavy1                                                                                                                                                      |        102 |     86,894 |        643 |      9,416 |     96,953 |
| test_p5\cpu_beta3\cpu_heavy1\cpu                                                                                                                                                  |         67 |     84,250 |        507 |      9,119 |     93,876 |
| test_p5\cpu_beta3\cpu_heavy1\cpu\isim                                                                                                                                             |         41 |     81,764 |        430 |      8,928 |     91,122 |
| test_p5\cpu_beta3\cpu_heavy1\cpu\isim\mips.exe.sim                                                                                                                                |         19 |     37,841 |        203 |      4,144 |     42,188 |
| test_p5\cpu_beta3\cpu_heavy1\cpu\isim\mips.exe.sim\work                                                                                                                           |         17 |     37,822 |        203 |      4,133 |     42,158 |
| test_p5\cpu_beta3\cpu_heavy1\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                    |         21 |     43,908 |        227 |      4,782 |     48,917 |
| test_p5\cpu_beta3\cpu_heavy1\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                               |         19 |     43,901 |        227 |      4,777 |     48,905 |
| test_p5\cpu_beta3\cpu_heavy1\cpu\src                                                                                                                                              |         19 |      1,545 |         71 |        160 |      1,776 |
| test_p5\cpu_beta3\cpu_heavy1\subit1                                                                                                                                               |         18 |      1,477 |         69 |        150 |      1,696 |
| test_p5\cpu_beta3\cpu_heavy1\subit1\src                                                                                                                                           |         18 |      1,477 |         69 |        150 |      1,696 |
| test_p5\cpu_beta3\cpu_heavy1\submit                                                                                                                                               |         16 |        938 |         61 |        134 |      1,133 |
| test_p5\cpu_beta3\cpu_heavy\cpu                                                                                                                                                   |         68 |     82,527 |        519 |      9,196 |     92,242 |
| test_p5\cpu_beta3\cpu_heavy\cpu\isim                                                                                                                                              |         42 |     80,294 |        442 |      9,003 |     89,739 |
| test_p5\cpu_beta3\cpu_heavy\cpu\isim\mips.exe.sim                                                                                                                                 |         21 |     41,942 |        227 |      4,807 |     46,976 |
| test_p5\cpu_beta3\cpu_heavy\cpu\isim\mips.exe.sim\work                                                                                                                            |         19 |     41,923 |        227 |      4,796 |     46,946 |
| test_p5\cpu_beta3\cpu_heavy\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                     |         20 |     38,337 |        215 |      4,194 |     42,746 |
| test_p5\cpu_beta3\cpu_heavy\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                |         18 |     38,318 |        215 |      4,183 |     42,716 |
| test_p5\cpu_beta3\cpu_heavy\cpu\src                                                                                                                                               |         19 |      1,529 |         71 |        162 |      1,762 |
| test_p5\cpu_beta3\cpu_heavy\subit1                                                                                                                                                |         18 |      1,477 |         69 |        150 |      1,696 |
| test_p5\cpu_beta3\cpu_heavy\subit1\src                                                                                                                                            |         18 |      1,477 |         69 |        150 |      1,696 |
| test_p5\cpu_beta3\cpu_heavy\submit                                                                                                                                                |         16 |        938 |         61 |        134 |      1,133 |
| test_p5\cpu_beta3\submit                                                                                                                                                          |         18 |      1,225 |         62 |        156 |      1,443 |
| test_p5\std_ch                                                                                                                                                                    |         24 |      1,717 |         30 |        207 |      1,954 |
| test_p5\std_ch\control                                                                                                                                                            |          2 |        193 |          7 |          9 |        209 |
| test_p5\std_ch\cou                                                                                                                                                                |          1 |         66 |          0 |         13 |         79 |
| test_p5\std_ch\datapath                                                                                                                                                           |          8 |        439 |          6 |         65 |        510 |
| test_p5\std_ch\upload                                                                                                                                                             |         13 |      1,019 |         17 |        120 |      1,156 |
| test_p5\std_ch\upload\cpu                                                                                                                                                         |          1 |         66 |          0 |         13 |         79 |
| test_p5\std_fzc                                                                                                                                                                   |         21 |        833 |        207 |         80 |      1,120 |
| test_p5\std_fzc\cpu                                                                                                                                                               |          1 |         66 |          0 |         13 |         79 |
| test_p5\std_roife                                                                                                                                                                 |         20 |      2,129 |         90 |        446 |      2,665 |
| test_p5\std_roife\cpu                                                                                                                                                             |          1 |         66 |          0 |         13 |         79 |
| test_p5\submit                                                                                                                                                                    |         16 |        946 |         60 |        136 |      1,142 |
| test_p5\submit\p5                                                                                                                                                                 |         16 |        946 |         60 |        136 |      1,142 |
| test_p5\test_gen                                                                                                                                                                  |         76 |     92,132 |        558 |     10,167 |    102,857 |
| test_p5\test_gen\cpu                                                                                                                                                              |         74 |     91,670 |        558 |     10,125 |    102,353 |
| test_p5\test_gen\cpu\isim                                                                                                                                                         |         47 |     89,201 |        477 |      9,925 |     99,603 |
| test_p5\test_gen\cpu\isim\IFU_isim_beh.exe.sim                                                                                                                                    |          5 |        519 |         35 |         96 |        650 |
| test_p5\test_gen\cpu\isim\IFU_isim_beh.exe.sim\work                                                                                                                               |          3 |        500 |         35 |         85 |        620 |
| test_p5\test_gen\cpu\isim\mips.exe.sim                                                                                                                                            |         22 |     62,113 |        239 |      6,781 |     69,133 |
| test_p5\test_gen\cpu\isim\mips.exe.sim\work                                                                                                                                       |         20 |     62,094 |        239 |      6,770 |     69,103 |
| test_p5\test_gen\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                                |         19 |     26,554 |        203 |      3,046 |     29,803 |
| test_p5\test_gen\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                           |         17 |     26,535 |        203 |      3,035 |     29,773 |
| test_p5\test_gen\cpu\src                                                                                                                                                          |         18 |      1,378 |         66 |        149 |      1,593 |
| test_p6                                                                                                                                                                           |        431 |    549,229 |      3,991 |     58,479 |    611,699 |
| test_p6\cpu_beta_0                                                                                                                                                                |         82 |     81,116 |        559 |      8,919 |     90,594 |
| test_p6\cpu_beta_0\cpu                                                                                                                                                            |         65 |     79,949 |        492 |      8,772 |     89,213 |
| test_p6\cpu_beta_0\cpu\isim                                                                                                                                                       |         40 |     77,807 |        418 |      8,593 |     86,818 |
| test_p6\cpu_beta_0\cpu\isim\mips.exe.sim                                                                                                                                          |         20 |     47,774 |        215 |      5,185 |     53,174 |
| test_p6\cpu_beta_0\cpu\isim\mips.exe.sim\work                                                                                                                                     |         18 |     47,755 |        215 |      5,174 |     53,144 |
| test_p6\cpu_beta_0\cpu\isim\mips_tb_isim_beh.exe.sim                                                                                                                              |         19 |     30,018 |        203 |      3,406 |     33,627 |
| test_p6\cpu_beta_0\cpu\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                         |         17 |     29,999 |        203 |      3,395 |     33,597 |
| test_p6\cpu_beta_0\cpu\src                                                                                                                                                        |         18 |      1,417 |         68 |        149 |      1,634 |
| test_p6\cpu_beta_0\submit                                                                                                                                                         |         16 |        938 |         61 |        134 |      1,133 |
| test_p6\cpu_beta_1                                                                                                                                                                |         73 |     93,833 |        650 |     10,163 |    104,646 |
| test_p6\cpu_beta_1(submit)                                                                                                                                                        |         51 |     48,614 |        416 |      5,125 |     54,155 |
| test_p6\cpu_beta_1(submit)\isim                                                                                                                                                   |         22 |     44,505 |        227 |      4,826 |     49,558 |
| test_p6\cpu_beta_1(submit)\isim\mips_txt_isim_beh.exe.sim                                                                                                                         |         21 |     44,490 |        227 |      4,824 |     49,541 |
| test_p6\cpu_beta_1(submit)\isim\mips_txt_isim_beh.exe.sim\work                                                                                                                    |         19 |     44,471 |        227 |      4,813 |     49,511 |
| test_p6\cpu_beta_1(submit)\src                                                                                                                                                    |         20 |      1,779 |         73 |        196 |      2,048 |
| test_p6\cpu_beta_1\isim                                                                                                                                                           |         43 |     88,939 |        454 |      9,883 |     99,276 |
| test_p6\cpu_beta_1\isim\mips.exe.sim                                                                                                                                              |         21 |     46,035 |        227 |      5,208 |     51,470 |
| test_p6\cpu_beta_1\isim\mips.exe.sim\work                                                                                                                                         |         19 |     46,016 |        227 |      5,197 |     51,440 |
| test_p6\cpu_beta_1\isim\mips_tb_isim_beh.exe.sim                                                                                                                                  |         21 |     42,889 |        227 |      4,673 |     47,789 |
| test_p6\cpu_beta_1\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                             |         19 |     42,870 |        227 |      4,662 |     47,759 |
| test_p6\cpu_beta_1\src                                                                                                                                                            |         20 |      1,672 |         72 |        175 |      1,919 |
| test_p6\cpu_beta_1debug                                                                                                                                                           |         73 |     93,825 |        645 |     10,157 |    104,627 |
| test_p6\cpu_beta_1debug\isim                                                                                                                                                      |         43 |     88,927 |        454 |      9,877 |     99,258 |
| test_p6\cpu_beta_1debug\isim\mips.exe.sim                                                                                                                                         |         21 |     46,035 |        227 |      5,208 |     51,470 |
| test_p6\cpu_beta_1debug\isim\mips.exe.sim\work                                                                                                                                    |         19 |     46,016 |        227 |      5,197 |     51,440 |
| test_p6\cpu_beta_1debug\isim\mips_tb_isim_beh.exe.sim                                                                                                                             |         21 |     42,877 |        227 |      4,667 |     47,771 |
| test_p6\cpu_beta_1debug\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                        |         19 |     42,870 |        227 |      4,662 |     47,759 |
| test_p6\cpu_beta_1debug\src                                                                                                                                                       |         20 |      1,672 |         72 |        175 |      1,919 |
| test_p6\cpu_beta_2                                                                                                                                                                |         76 |    128,365 |        686 |     13,548 |    142,599 |
| test_p6\cpu_beta_2(submit)                                                                                                                                                        |         72 |     97,022 |        644 |     10,299 |    107,965 |
| test_p6\cpu_beta_2(submit)\isim                                                                                                                                                   |         43 |     92,616 |        454 |      9,998 |    103,068 |
| test_p6\cpu_beta_2(submit)\isim\mips_tb_isim_beh.exe.sim                                                                                                                          |         21 |     48,111 |        227 |      5,172 |     53,510 |
| test_p6\cpu_beta_2(submit)\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                     |         19 |     48,092 |        227 |      5,161 |     53,480 |
| test_p6\cpu_beta_2(submit)\isim\mips_txt_isim_beh.exe.sim                                                                                                                         |         21 |     44,490 |        227 |      4,824 |     49,541 |
| test_p6\cpu_beta_2(submit)\isim\mips_txt_isim_beh.exe.sim\work                                                                                                                    |         19 |     44,471 |        227 |      4,813 |     49,511 |
| test_p6\cpu_beta_2(submit)\src                                                                                                                                                    |         20 |      1,829 |         74 |        198 |      2,101 |
| test_p6\cpu_beta_2\isim                                                                                                                                                           |         46 |    123,887 |        490 |     13,266 |    137,643 |
